College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Courses,Facilities,City,State,Country,College Type,Average Fees
National Institute of Technology Rourkela ,Co-Ed,647 Acres,4811,329,2007,3.12,,"B.Tech Mechanical Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering, M.Tech Communication and Networks, M.Tech Computer Science","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Rourkela,Odisha,India,Public/Government,350600.0
Visvesvaraya National Institute of Technology Nagpur ,Co-Ed,215 Acres,1071,192,2007,,,"B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering, B.Tech Civil Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Nagpur,Maharashtra,India,Public/Government,273596.6666666667
Netaji Subhas University of Technology,Co-Ed,145 Acres,3759,101,2018,,,"B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Electrical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations",New Delhi,Delhi,India,Public/Government,352320.0
Birla Institute of Technology,Co-Ed,980 Acres,4506,284,1955,,,"B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, M.Tech Computer Science","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Ranchi,Jharkhand,India,Private,596686.0465116279
International Institute of Information Technology,Co-Ed,66 Acres,1721,85,2001,3.05,,"B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, IT Infrastructure, Laboratories, Convenience Store, Banks Facilities",Hyderabad,Telangana,India,Private,756666.6666666666
BMS College of Engineering,Co-Ed,15 Acres,5610,298,1946,3.83,"Visvesvaraya Technological University, Belagavi",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Bengaluru,Karnataka,India,Private,71558.66666666667
Institute of Chemical Technology,Co-Ed,16 Acres,1753,116,2008,3.77,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205128205
Banaras Hindu University,Co-Ed,1300 Acres,27946,1637,1916,3.41,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Varanasi,Uttar Pradesh,India,Public/Government,82548.89763779528
Thapar Institute of Engineering and Technology,Co-Ed,250 Acres,8150,482,1956,3.29,,M.Tech Chemical Engineering,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility",Patiala,Punjab,India,Private,736823.0769230769
Shanmugha Arts Science Technology Research and Academy,Co-Ed,232 Acres,9838,750,2001,3.54,,"B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Electronics and Communication Engineering, B.Tech Chemical Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Convenience Store, Banks Facilities",Thanjavur,Tamil Nadu,India,Private,415918.0327868852
Indian Institute of Technology Hyderabad ,Co-Ed,576 Acres,,190,2008,,,"B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations",Hyderabad,Telangana,India,Public/Government,288884.5945945947
Nirma University,Co-Ed,115 Acres,8223,369,2003,3.18,,"B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations, Banks Facilities",Ahmedabad,Gujarat,India,Private,705485.7142857143
Indraprastha Institute of Information Technology,Co-Ed,25 Acres,1711,52,2008,3.04,,B.Tech Computer Science and Engineering,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations",New Delhi,Delhi,India,Public/Government,915384.6153846154
Lovely Professional University,Co-Ed,600 Acres,47579,2200,2005,,,"B.Tech Chemical Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Phagwara,Punjab,India,Private,423667.1768707483
International Institute of Information Technology Bangalore ,Co-Ed,10 Acres,840,62,2005,3.08,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Guest Room",Bengaluru,Karnataka,India,Public/Government,529833.3333333334
Christ University,Co-Ed,80 Acres,20823,702,2008,3.25,,"B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Bengaluru,Karnataka,India,Private,313873.7704918033
Sardar Vallabhbhai National Institute of Technology Surat ,Co-Ed,251 Acres,4785,170,1961,,,"B.Tech Mechanical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Surat,Gujarat,India,Public/Government,224208.33333333334
National Institute of Technology Durgapur ,Co-Ed,187 Acres,3580,178,1960,,,"B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Civil Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Durgapur,West Bengal,India,Public/Government,296571.7948717949
PES University,Co-Ed,25 Acres,6465,410,2013,,,"B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Alumni Associations",Bengaluru,Karnataka,India,Private,276055.55555555556
Indian Institute of Space Science and Technology,Co-Ed,100 Acres,900,101,2007,2.87,,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Laboratories, Banks Facilities",Thiruvananthapuram,Kerala,India,Public/Government,99611.11111111111
Indian Institute of Technology Banaras Hindu University Varanasi ,Co-Ed,,5902,338,1919,,,"B.Tech Chemical Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Computer Science and Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Varanasi,Uttar Pradesh,India,Public/Government,445083.0188679245
Maharashtra Institute of Technology,Co-Ed,17 Acres,1647,235,1983,,"Dr Vishwanath Karad MIT World Peace University, Pune",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,695000.0
National Institute of Technology Delhi ,Co-Ed,51 Acres,711,45,2010,,,"B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations",New Delhi,Delhi,India,Public/Government,321666.6666666667
Veermata Jijabai Technological Institute,Co-Ed,16 Acres,3575,134,1887,,"University of Mumbai, Mumbai","B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Convenience Store, Alumni Associations",Mumbai,Maharashtra,India,Public/Government,177209.41176470587
Amrita School of Engineering,Co-Ed,,,300,1994,,"Amrita Vishwa Vidyapeetham, Coimbatore","B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering, B.Tech Civil Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Coimbatore,Tamil Nadu,India,Private,649857.1428571428
National Institute of Technology Kurukshetra ,Co-Ed,300 Acres,4660,179,2008,,,"B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Alumni Associations, Banks Facilities",Kurukshetra,Haryana,India,Public/Government,274000.0
MIT College of Engineering,Co-Ed,,1607,152,2001,,"Dr Vishwanath Karad MIT World Peace University, Pune","B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Chemical Engineering, B.Tech Electrical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations",Pune,Maharashtra,India,Private,943500.0
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.94117647059
Malaviya National Institute of Technology Jaipur ,Co-Ed,317 Acres,4519,194,2007,,,"B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering, B.Tech Civil Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Guest Room, Banks Facilities",Jaipur,Rajasthan,India,Public/Government,357081.08108108107
Maulana Azad National Institute of Technology Bhopal ,Co-Ed,650 Acres,5137,179,1960,,,"B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Electrical Engineering, B.Tech Civil Engineering, B.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Bhopal,Madhya Pradesh,India,Public/Government,264609.756097561
Indian Institute of Information Technology Allahabad ,Co-Ed,100 Acres,1669,63,1999,,,B.Tech Electronics and Communication Engineering,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Allahabad,Uttar Pradesh,India,Public/Government,313000.0
Indian Institute of Technology Guwahati ,Co-Ed,704 Acres,5951,393,1994,,,"B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Swimming Pool, Alumni Associations",Guwahati,Assam,India,Public/Government,254171.9512195122
Thiagarajar College of Engineering,Co-Ed,143 Acres,3856,286,1957,3.47,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations",Madurai,Tamil Nadu,India,Private,130524.73684210527
BITS Pilani- Hyderabad Campus,Co-Ed,200 Acres,,559,2008,,"Birla Institute of Technology and Science, Pilani",,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Hyderabad,Telangana,India,Private,1110000.0
JNTUH College of Engineering,Co-Ed,100 Acres,1917,107,1965,,"Jawaharlal Nehru Technological University, Hyderabad","B.Tech Chemical Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, M.Tech Computer Science","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Hyderabad,Telangana,India,Public/Government,61641.02564102564
Maharaja Sayajirao University of Baroda,Co-Ed,275 Acres,42886,523,1949,3.16,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Vadodara,Gujarat,India,Public/Government,73627.87644787645
Dhirubhai Ambani Institute of Information and Communication Technology,Co-Ed,50 Acres,1689,58,2003,3.11,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Gandhinagar,Gujarat,India,Private,422000.0
Indian Institute of Technology Indian School of Mines Dhanbad ,Co-Ed,218 Acres,7545,293,1926,,,"B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Civil Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room",Dhanbad,Jharkhand,India,Public/Government,265595.744680851
Punjab Engineering College,Co-Ed,146 Acres,3137,111,1921,,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Convenience Store, Guest Room, Banks Facilities",Chandigarh,Chandigarh,India,Public/Government,322409.0909090909
Harcourt Butler Technical University,Co-Ed,348 Acres,,79,1921,,,"B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering, B.Tech Electrical Engineering, B.Tech Civil Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Kanpur,Uttar Pradesh,India,Public/Government,455480.0
Indian Institute of Technology Indore ,Co-Ed,501 Acres,1838,116,2009,,,"B.Tech Mechanical Engineering, B.Tech Electrical Engineering, B.Tech Computer Science and Engineering, B.Tech Civil Engineering","Boys Hostel, Girls Hostel, Library, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations",Simrol,Madhya Pradesh,India,Public/Government,326473.6842105263
Andhra University College of Engineering,Co-Ed,160 Acres,,137,1955,,"Andhra University, Visakhapatnam","B.Tech Chemical Engineering, B.Tech Computer Science and Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Transport, Laboratories, Alumni Associations",Visakhapatnam,Andhra Pradesh,India,Public/Government,64333.333333333336
Sri Sivasubramaniya Nadar College of Engineering,Co-Ed,,3918,262,1996,3.55,"Anna University, Chennai",B.Tech Chemical Engineering,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations",Kelambakkam,Tamil Nadu,India,Private,198333.33333333334
VIT University,Co-Ed,177 Acres,7763,381,2010,,"Vellore Institute of Technology, Vellore","B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Kelambakkam,Tamil Nadu,India,Private,577000.0
Bangalore Institute of Technology,Co-Ed,5 Acres,4493,297,1979,,"Visvesvaraya Technological University, Belagavi",,"Boys Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",Bengaluru,Karnataka,India,Private,178800.0
