College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Courses,Facilities,City,State,Country,College Type,Average Fees
National Institute of Technology Rourkela ,Co-Ed,647 Acres,4811,329,2007,3.12,,"BT_ME, BT_CSE, BT_EE, BT_CE, BT_ECE, BT_ChemE, MT_ChemE, MT_CN, MT_CS","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Rourkela,Odisha,India,Public/Government,350600.0
Birla Institute of Technology,Co-Ed,980 Acres,4506,284,1955,,,"BT_ECE, BT_ME, BT_ChemE, BT_CE, BT_CSE, BT_ECE, BT_ME, MT_CS","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Ranchi,Jharkhand,India,Private,596686.0465116279
Shanmugha Arts Science Technology Research and Academy,Co-Ed,232 Acres,9838,750,2001,3.54,,"BT_CSE, BT_ECE, BT_ECE, BT_ChemE, BT_CE, BT_CSE, BT_ECE, BT_ME, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Convenience Store, Banks Facilities",Thanjavur,Tamil Nadu,India,Private,415918.0327868852
Indian Institute of Technology Hyderabad ,Co-Ed,576 Acres,,190,2008,,,"BT_CSE, BT_EE, BT_ME, BT_CE, BT_ChemE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations",Hyderabad,Telangana,India,Public/Government,288884.5945945947
Lovely Professional University,Co-Ed,600 Acres,47579,2200,2005,,,"BT_ChemE, BT_CE, BT_CSE, BT_EE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Phagwara,Punjab,India,Private,423667.1768707483
Sardar Vallabhbhai National Institute of Technology Surat ,Co-Ed,251 Acres,4785,170,1961,,,"BT_ME, BT_ECE, BT_CE, BT_EE, BT_ChemE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Surat,Gujarat,India,Public/Government,224208.33333333334
National Institute of Technology Durgapur ,Co-Ed,187 Acres,3580,178,1960,,,"BT_CSE, BT_ME, BT_EE, BT_ECE, BT_CE, BT_ChemE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Durgapur,West Bengal,India,Public/Government,296571.7948717949
Indian Institute of Technology Banaras Hindu University Varanasi ,Co-Ed,,5902,338,1919,,,"BT_ChemE, BT_ME, BT_CE, BT_EE, BT_CSE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Varanasi,Uttar Pradesh,India,Public/Government,445083.0188679245
MIT College of Engineering,Co-Ed,,1607,152,2001,,"Dr Vishwanath Karad MIT World Peace University, Pune","BT_CSE, BT_ME, BT_CE, BT_ECE, BT_ChemE, BT_EE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations",Pune,Maharashtra,India,Private,943500.0
Malaviya National Institute of Technology Jaipur ,Co-Ed,317 Acres,4519,194,2007,,,"BT_CSE, BT_EE, BT_ECE, BT_ME, BT_ChemE, BT_CE, MT_ChemE","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Guest Room, Banks Facilities",Jaipur,Rajasthan,India,Public/Government,357081.08108108107
