College Name,Courses,2021,2022,2023,2024
National Institute of Technology Rourkela ,BT_ME,,,,
National Institute of Technology Rourkela , BT_CSE,,,,
National Institute of Technology Rourkela , BT_EE,,,,
National Institute of Technology Rourkela , BT_CE,,,,
National Institute of Technology Rourkela , BT_ECE,,,,
National Institute of Technology Rourkela , BT_ChemE,,,,
National Institute of Technology Rourkela , MT_ChemE,,,,
National Institute of Technology Rourkela , MT_CN,,,,
National Institute of Technology Rourkela , MT_CS,,,,
Birla Institute of Technology,BT_ECE,,,,
Birla Institute of Technology, BT_ME,,,,
Birla Institute of Technology, BT_ChemE,,,,
Birla Institute of Technology, BT_CE,,,,
Birla Institute of Technology, BT_CSE,,,,
Birla Institute of Technology, BT_ECE,,,,
Birla Institute of Technology, BT_ME,,,,
Birla Institute of Technology, MT_CS,,,,
Shanmugha Arts Science Technology Research and Academy,BT_CSE,,,,
Shanmugha Arts Science Technology Research and Academy, BT_ECE,,,,
Shanmugha Arts Science Technology Research and Academy, BT_ECE,,,,
Shanmugha Arts Science Technology Research and Academy, BT_ChemE,,,,
Shanmugha Arts Science Technology Research and Academy, BT_CE,,,,
Shanmugha Arts Science Technology Research and Academy, BT_CSE,,,,
Shanmugha Arts Science Technology Research and Academy, BT_ECE,,,,
Shanmugha Arts Science Technology Research and Academy, BT_ME,,,,
Shanmugha Arts Science Technology Research and Academy, MT_ChemE,,,,
Indian Institute of Technology Hyderabad ,BT_CSE,,,,
Indian Institute of Technology Hyderabad , BT_EE,,,,
Indian Institute of Technology Hyderabad , BT_ME,,,,
Indian Institute of Technology Hyderabad , BT_CE,,,,
Indian Institute of Technology Hyderabad , BT_ChemE,,,,
Indian Institute of Technology Hyderabad , MT_ChemE,,,,
Lovely Professional University,BT_ChemE,,,,
Lovely Professional University, BT_CE,,,,
Lovely Professional University, BT_CSE,,,,
Lovely Professional University, BT_EE,,,,
Lovely Professional University, BT_ECE,,,,
Lovely Professional University, BT_ME,,,,
Sardar Vallabhbhai National Institute of Technology Surat ,BT_ME,,,,
Sardar Vallabhbhai National Institute of Technology Surat , BT_ECE,,,,
Sardar Vallabhbhai National Institute of Technology Surat , BT_CE,,,,
Sardar Vallabhbhai National Institute of Technology Surat , BT_EE,,,,
Sardar Vallabhbhai National Institute of Technology Surat , BT_ChemE,,,,
Sardar Vallabhbhai National Institute of Technology Surat , MT_ChemE,,,,
National Institute of Technology Durgapur ,BT_CSE,,,,
National Institute of Technology Durgapur , BT_ME,,,,
National Institute of Technology Durgapur , BT_EE,,,,
National Institute of Technology Durgapur , BT_ECE,,,,
National Institute of Technology Durgapur , BT_CE,,,,
National Institute of Technology Durgapur , BT_ChemE,,,,
National Institute of Technology Durgapur , MT_ChemE,,,,
Indian Institute of Technology Banaras Hindu University Varanasi ,BT_ChemE,,,,
Indian Institute of Technology Banaras Hindu University Varanasi , BT_ME,,,,
Indian Institute of Technology Banaras Hindu University Varanasi , BT_CE,,,,
Indian Institute of Technology Banaras Hindu University Varanasi , BT_EE,,,,
Indian Institute of Technology Banaras Hindu University Varanasi , BT_CSE,,,,
Indian Institute of Technology Banaras Hindu University Varanasi , MT_ChemE,,,,
MIT College of Engineering,BT_CSE,,,,
MIT College of Engineering, BT_ME,,,,
MIT College of Engineering, BT_CE,,,,
MIT College of Engineering, BT_ECE,,,,
MIT College of Engineering, BT_ChemE,,,,
MIT College of Engineering, BT_EE,,,,
Malaviya National Institute of Technology Jaipur ,BT_CSE,,,,
Malaviya National Institute of Technology Jaipur , BT_EE,,,,
Malaviya National Institute of Technology Jaipur , BT_ECE,,,,
Malaviya National Institute of Technology Jaipur , BT_ME,,,,
Malaviya National Institute of Technology Jaipur , BT_ChemE,,,,
Malaviya National Institute of Technology Jaipur , BT_CE,,,,
Malaviya National Institute of Technology Jaipur , MT_ChemE,,,,
Maulana Azad National Institute of Technology Bhopal ,BT_CSE,,,,
Maulana Azad National Institute of Technology Bhopal , BT_ME,,,,
Maulana Azad National Institute of Technology Bhopal , BT_ECE,,,,
Maulana Azad National Institute of Technology Bhopal , BT_EE,,,,
Maulana Azad National Institute of Technology Bhopal , BT_CE,,,,
Maulana Azad National Institute of Technology Bhopal , BT_ChemE,,,,
Indian Institute of Technology Indian School of Mines Dhanbad ,BT_CSE,,,,
Indian Institute of Technology Indian School of Mines Dhanbad , BT_ME,,,,
Indian Institute of Technology Indian School of Mines Dhanbad , BT_EE,,,,
Indian Institute of Technology Indian School of Mines Dhanbad , BT_ECE,,,,
Indian Institute of Technology Indian School of Mines Dhanbad , BT_CE,,,,
Indian Institute of Technology Indian School of Mines Dhanbad , BT_ChemE,,,,
Indian Institute of Technology Indian School of Mines Dhanbad , MT_ChemE,,,,
Harcourt Butler Technical University,BT_CSE,,,,
Harcourt Butler Technical University, BT_ME,,,,
Harcourt Butler Technical University, BT_ChemE,,,,
Harcourt Butler Technical University, BT_EE,,,,
Harcourt Butler Technical University, BT_CE,,,,
Harcourt Butler Technical University, MT_ChemE,,,,
Indian Institute of Technology Gandhinagar ,MT_ChemE,,,,
Indian Institute of Technology Gandhinagar , BT_ChemE,,,,
Indian Institute of Technology Gandhinagar , BT_ME,,,,
Indian Institute of Technology Gandhinagar , BT_CSE,,,,
Indian Institute of Technology Gandhinagar , BT_EE,,,,
Indian Institute of Technology Gandhinagar , BT_CE,,,,
Indian Institute of Technology Ropar ,BT_EE,,,,
Indian Institute of Technology Ropar , BT_ME,,,,
Indian Institute of Technology Ropar , BT_CSE,,,,
Indian Institute of Technology Ropar , BT_CE,,,,
Indian Institute of Technology Ropar , BT_ChemE,,,,
Indian Institute of Technology Ropar , MT_ChemE,,,,
JC Bose University of Science and Technology,BT_ME,,,,
JC Bose University of Science and Technology, BT_ME,,,,
JC Bose University of Science and Technology, BT_ME,,,,
JC Bose University of Science and Technology, BT_CSE,,,,
JC Bose University of Science and Technology, BT_ME,,,,
JC Bose University of Science and Technology, BT_CE,,,,
JC Bose University of Science and Technology, BT_CE,,,,
JC Bose University of Science and Technology, BT_CE,,,,
JC Bose University of Science and Technology, BT_CE,,,,
JC Bose University of Science and Technology, BT_CE,,,,
JC Bose University of Science and Technology, BT_CE,,,,
JC Bose University of Science and Technology, BT_CSE,,,,
JC Bose University of Science and Technology, BT_CSE,,,,
JC Bose University of Science and Technology, BT_CSE,,,,
JC Bose University of Science and Technology, BT_EE,,,,
JC Bose University of Science and Technology, BT_EE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_ME,,,,
JC Bose University of Science and Technology, BT_ME,,,,
JC Bose University of Science and Technology, BT_ME,,,,
JC Bose University of Science and Technology, BT_ME,,,,
JC Bose University of Science and Technology, BT_CE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_CE,,,,
JC Bose University of Science and Technology, BT_CSE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
National Institute of Technology Raipur ,BT_ECE,,,,
National Institute of Technology Raipur , BT_EE,,,,
National Institute of Technology Raipur , BT_ME,,,,
National Institute of Technology Raipur , BT_CE,,,,
National Institute of Technology Raipur , BT_ChemE,,,,
National Institute of Technology Raipur , MT_ChemE,,,,
Institute of Engineering and Technology,BT_ChemE,,,,
Institute of Engineering and Technology, BT_CE,,,,
Institute of Engineering and Technology, BT_CSE,,,,
Institute of Engineering and Technology, BT_ECE,,,,
Institute of Engineering and Technology, BT_ME,,,,
Institute of Engineering and Technology, BT_EE,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar ,BT_CE,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar , BT_ECE,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar , BT_CSE,,,,
